epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16147.1,1.70733,1.81775,1.52505,0.58197,0.49899,0.5243,0.26552,1.63643,1.58168,1.50524,0.005842,0.005842,0.005842
44,16328.3,1.70405,1.80348,1.52215,0.58547,0.49912,0.52558,0.26665,1.63801,1.57909,1.50484,0.005743,0.005743,0.005743
45,16510.8,1.6964,1.8037,1.52,0.58827,0.49629,0.52731,0.26747,1.63643,1.57591,1.5041,0.005644,0.005644,0.005644
46,16691.6,1.69986,1.79863,1.51847,0.58537,0.49976,0.5283,0.26848,1.63497,1.57256,1.50199,0.005545,0.005545,0.005545
47,16873.9,1.69771,1.78065,1.51207,0.58816,0.4987,0.5295,0.2697,1.63333,1.56785,1.49979,0.005446,0.005446,0.005446
48,17054.8,1.69173,1.79005,1.51138,0.5885,0.49974,0.53062,0.2706,1.63288,1.56619,1.49903,0.005347,0.005347,0.005347
49,17237.3,1.6902,1.77685,1.50824,0.58929,0.50142,0.53152,0.27118,1.63187,1.56294,1.4982,0.005248,0.005248,0.005248
50,17418.4,1.69137,1.77483,1.51058,0.59043,0.50077,0.53156,0.27168,1.6312,1.56062,1.49733,0.005149,0.005149,0.005149
51,17600.3,1.68498,1.76236,1.50136,0.59216,0.50159,0.53186,0.27234,1.63042,1.55762,1.4964,0.00505,0.00505,0.00505
52,17782.7,1.68293,1.75814,1.50904,0.59179,0.50227,0.53254,0.27268,1.62986,1.55545,1.49554,0.004951,0.004951,0.004951
53,17965.1,1.67897,1.75538,1.50255,0.59176,0.50061,0.53207,0.27331,1.62927,1.55283,1.49492,0.004852,0.004852,0.004852
54,18147.3,1.67856,1.75402,1.49647,0.58668,0.50657,0.53311,0.27366,1.62847,1.55069,1.49383,0.004753,0.004753,0.004753
55,18330.2,1.67092,1.7364,1.49309,0.59112,0.50496,0.5345,0.27395,1.62749,1.54838,1.49272,0.004654,0.004654,0.004654
56,18512.1,1.67395,1.73631,1.49139,0.59099,0.5055,0.53518,0.27457,1.62661,1.54703,1.49188,0.004555,0.004555,0.004555
57,18694.7,1.66658,1.73414,1.49026,0.59109,0.50522,0.53614,0.27454,1.62594,1.54558,1.49116,0.004456,0.004456,0.004456
58,18875.7,1.66848,1.7205,1.48911,0.59487,0.50467,0.53665,0.27486,1.62563,1.54368,1.49065,0.004357,0.004357,0.004357
59,19058,1.6619,1.71783,1.48147,0.59781,0.50287,0.537,0.27533,1.62519,1.54171,1.48983,0.004258,0.004258,0.004258
60,19239.5,1.65655,1.7051,1.48004,0.59706,0.50434,0.53847,0.27586,1.62502,1.54017,1.48943,0.004159,0.004159,0.004159
61,19422.1,1.65283,1.70073,1.48293,0.59991,0.50294,0.53919,0.27591,1.62465,1.53849,1.48891,0.00406,0.00406,0.00406
62,19603.1,1.64785,1.69509,1.47894,0.6006,0.5043,0.53943,0.27631,1.62407,1.53683,1.48819,0.003961,0.003961,0.003961
63,19785.2,1.64515,1.69407,1.47495,0.60011,0.50658,0.54023,0.27685,1.62345,1.53558,1.48732,0.003862,0.003862,0.003862
64,19967.6,1.64987,1.69701,1.47566,0.59919,0.50839,0.54104,0.27724,1.62305,1.53383,1.48678,0.003763,0.003763,0.003763
65,20149.3,1.6417,1.68788,1.46734,0.59596,0.51198,0.54191,0.27784,1.62268,1.53265,1.48611,0.003664,0.003664,0.003664
66,20330.5,1.63942,1.67461,1.4675,0.59879,0.51,0.54201,0.27835,1.62254,1.53077,1.48569,0.003565,0.003565,0.003565
67,20512.1,1.63963,1.67373,1.46732,0.59717,0.51133,0.54208,0.279,1.6222,1.52936,1.48529,0.003466,0.003466,0.003466
68,20693.4,1.63808,1.66547,1.46479,0.59546,0.5129,0.54276,0.27934,1.62211,1.52794,1.48484,0.003367,0.003367,0.003367
69,20874.9,1.63114,1.66681,1.46611,0.59546,0.51357,0.54349,0.27991,1.62163,1.52623,1.48465,0.003268,0.003268,0.003268
70,21056,1.62765,1.65298,1.45892,0.59787,0.51201,0.54396,0.28032,1.62154,1.52502,1.48442,0.003169,0.003169,0.003169
71,21237.8,1.62775,1.64875,1.4566,0.59669,0.51504,0.54482,0.28057,1.62139,1.52312,1.48392,0.00307,0.00307,0.00307
72,21418.9,1.6203,1.63459,1.4506,0.59786,0.51525,0.54513,0.2809,1.62111,1.52141,1.48356,0.002971,0.002971,0.002971
73,21600.4,1.61728,1.63312,1.44804,0.59879,0.51582,0.5457,0.28133,1.62113,1.52009,1.48319,0.002872,0.002872,0.002872
74,21782.8,1.61372,1.62676,1.44473,0.59869,0.51488,0.54616,0.28169,1.62091,1.51851,1.48269,0.002773,0.002773,0.002773
75,21963.9,1.60868,1.62007,1.4488,0.60108,0.51616,0.54665,0.28231,1.62043,1.51728,1.4822,0.002674,0.002674,0.002674
76,22145.3,1.60735,1.60713,1.44099,0.60176,0.51618,0.54739,0.28242,1.62026,1.51546,1.48135,0.002575,0.002575,0.002575
77,22326.6,1.60618,1.60644,1.44137,0.60151,0.51725,0.54747,0.28263,1.61994,1.51437,1.48061,0.002476,0.002476,0.002476
78,22507.6,1.5982,1.59951,1.43488,0.60187,0.51735,0.54817,0.28319,1.62023,1.51322,1.4806,0.002377,0.002377,0.002377
79,22688.6,1.60355,1.59764,1.43858,0.60304,0.51737,0.54894,0.28374,1.62056,1.51164,1.48037,0.002278,0.002278,0.002278
80,22869.8,1.59436,1.58829,1.43348,0.6043,0.51686,0.54923,0.28398,1.62033,1.51034,1.48003,0.002179,0.002179,0.002179
81,23051,1.59207,1.5821,1.43192,0.60645,0.51789,0.55029,0.28437,1.62016,1.50919,1.47948,0.00208,0.00208,0.00208
