epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.608,2.11573,3.49304,1.82171,0.32254,0.26656,0.19346,0.07525,2.04005,2.63633,1.77891,0.00333194,0.00333194,0.00333194
2,512.147,2.03057,2.75506,1.73384,0.28932,0.2663,0.19633,0.07808,2.02912,2.47254,1.80512,0.0065333,0.0065333,0.0065333
3,748.019,2.08598,2.63584,1.79553,0.36848,0.23262,0.17542,0.07166,2.08522,2.48181,1.87083,0.00960266,0.00960266,0.00960266
4,927.678,2.10018,2.59682,1.83305,0.32833,0.29442,0.22042,0.08831,2.01851,2.39171,1.8394,0.009406,0.009406,0.009406
5,1115.33,2.02389,2.46088,1.78041,0.35838,0.32211,0.26731,0.10979,1.95681,2.23773,1.78094,0.009208,0.009208,0.009208
6,1293.81,1.98486,2.37775,1.74663,0.37967,0.3548,0.30507,0.13148,1.90122,2.12501,1.72946,0.00901,0.00901,0.00901
7,1483.35,1.95556,2.3226,1.7271,0.39898,0.35648,0.30465,0.13468,1.87226,2.10436,1.71093,0.008812,0.008812,0.008812
8,1664.32,1.91845,2.26509,1.70768,0.42408,0.36924,0.33383,0.1487,1.85698,2.02278,1.71482,0.008614,0.008614,0.008614
9,1843.8,1.90055,2.22445,1.69007,0.44581,0.38475,0.35601,0.16073,1.83491,1.98087,1.6773,0.008416,0.008416,0.008416
10,2039.43,1.88534,2.18278,1.67071,0.4366,0.38332,0.34169,0.15588,1.8218,1.99926,1.67848,0.008218,0.008218,0.008218
11,2218.07,1.86492,2.15609,1.65968,0.48568,0.4025,0.38702,0.17621,1.80493,1.93703,1.66436,0.00802,0.00802,0.00802
12,2398.01,1.8501,2.12783,1.64555,0.47317,0.40672,0.38914,0.17776,1.79285,1.91198,1.65174,0.007822,0.007822,0.007822
13,2577.82,1.84149,2.11841,1.64199,0.47369,0.41668,0.40564,0.18598,1.78904,1.87759,1.63417,0.007624,0.007624,0.007624
14,2757.07,1.83155,2.08803,1.63437,0.50538,0.41731,0.41414,0.194,1.76562,1.84451,1.6262,0.007426,0.007426,0.007426
15,2936.49,1.82526,2.06925,1.62499,0.4971,0.424,0.41969,0.1985,1.74958,1.83825,1.60798,0.007228,0.007228,0.007228
16,3147.55,1.8149,2.05163,1.61883,0.50685,0.4309,0.426,0.20089,1.74761,1.81929,1.60233,0.00703,0.00703,0.00703
17,3327.5,1.80651,2.02624,1.60766,0.49177,0.43734,0.41451,0.19979,1.73776,1.80033,1.59332,0.006832,0.006832,0.006832
18,3509.06,1.79564,2.00463,1.59335,0.51415,0.44586,0.44148,0.21322,1.71654,1.78336,1.57332,0.006634,0.006634,0.006634
19,3693.91,1.79085,2.00505,1.59799,0.52891,0.44555,0.44795,0.21688,1.71911,1.76316,1.58028,0.006436,0.006436,0.006436
20,3876.94,1.77858,1.99005,1.5853,0.53994,0.45254,0.46257,0.22296,1.71341,1.75205,1.5751,0.006238,0.006238,0.006238
21,4058.81,1.77543,1.97321,1.57884,0.52937,0.45988,0.46004,0.22233,1.70411,1.73481,1.56413,0.00604,0.00604,0.00604
22,4241.67,1.76853,1.94499,1.57078,0.54511,0.45539,0.47127,0.2302,1.70539,1.7157,1.55229,0.005842,0.005842,0.005842
23,4424.94,1.75407,1.93523,1.56362,0.55287,0.46132,0.47657,0.23323,1.68826,1.70806,1.54646,0.005644,0.005644,0.005644
24,4607.37,1.76149,1.93181,1.56554,0.55058,0.45734,0.4835,0.2379,1.68874,1.69447,1.54452,0.005446,0.005446,0.005446
25,4788.87,1.74978,1.91199,1.55827,0.56062,0.46454,0.48496,0.23761,1.68826,1.68406,1.54418,0.005248,0.005248,0.005248
26,4971.66,1.74232,1.89503,1.55109,0.56764,0.46194,0.49061,0.24191,1.68044,1.66984,1.53738,0.00505,0.00505,0.00505
27,5151.73,1.73348,1.88087,1.54577,0.56859,0.46844,0.49706,0.24483,1.67761,1.66154,1.53618,0.004852,0.004852,0.004852
28,5332.85,1.73084,1.87249,1.54123,0.56154,0.47295,0.49452,0.24519,1.67599,1.65534,1.53114,0.004654,0.004654,0.004654
29,5513,1.72325,1.86402,1.54272,0.56303,0.47572,0.49853,0.24669,1.67292,1.64004,1.53484,0.004456,0.004456,0.004456
30,5694.24,1.71458,1.85321,1.52906,0.57233,0.48089,0.50525,0.25103,1.66685,1.63655,1.52283,0.004258,0.004258,0.004258
31,5874.96,1.70696,1.83476,1.52558,0.5778,0.47927,0.50888,0.2539,1.66531,1.63243,1.52199,0.00406,0.00406,0.00406
32,6056.87,1.70463,1.8208,1.52872,0.57883,0.4827,0.51143,0.25638,1.65985,1.61822,1.52047,0.003862,0.003862,0.003862
33,6236.72,1.7008,1.81637,1.51674,0.58311,0.48378,0.51631,0.25941,1.65633,1.61146,1.51311,0.003664,0.003664,0.003664
34,6418.64,1.69091,1.80668,1.51455,0.57694,0.48521,0.51636,0.26061,1.65584,1.60704,1.51313,0.003466,0.003466,0.003466
35,6598.63,1.68439,1.7899,1.50642,0.57915,0.49196,0.51977,0.26125,1.65198,1.59948,1.50875,0.003268,0.003268,0.003268
36,6781.09,1.68471,1.77468,1.50279,0.58364,0.4914,0.52155,0.26171,1.65246,1.59158,1.50885,0.00307,0.00307,0.00307
37,6962.46,1.67608,1.76604,1.498,0.58904,0.49149,0.52346,0.26261,1.65145,1.58871,1.50481,0.002872,0.002872,0.002872
38,7144.06,1.66527,1.75885,1.49262,0.58669,0.49559,0.52409,0.26371,1.65013,1.58273,1.50369,0.002674,0.002674,0.002674
39,7324.54,1.66299,1.75401,1.48948,0.58776,0.49899,0.5264,0.26524,1.64706,1.57833,1.50126,0.002476,0.002476,0.002476
40,7507.57,1.65086,1.74052,1.48181,0.59293,0.50028,0.52846,0.26645,1.64606,1.57414,1.49995,0.002278,0.002278,0.002278
41,7697.03,1.65951,1.66846,1.52871,0.59569,0.5021,0.53037,0.26829,1.64441,1.56771,1.49889,0.00208,0.00208,0.00208
42,7874.22,1.64466,1.6306,1.51424,0.5944,0.50552,0.53209,0.26947,1.64328,1.56154,1.49724,0.001882,0.001882,0.001882
43,8050.61,1.63841,1.62498,1.50938,0.59586,0.50641,0.53286,0.27037,1.64356,1.55785,1.49771,0.001684,0.001684,0.001684
44,8227.46,1.62462,1.60863,1.50624,0.60069,0.50343,0.53469,0.27135,1.64335,1.5546,1.49795,0.001486,0.001486,0.001486
45,8403.28,1.61935,1.58499,1.49659,0.60056,0.50183,0.53537,0.2717,1.64371,1.55172,1.49777,0.001288,0.001288,0.001288
46,8580.89,1.60812,1.56907,1.49416,0.60199,0.50185,0.53598,0.27304,1.645,1.54772,1.49913,0.00109,0.00109,0.00109
47,8778.03,1.60248,1.55629,1.48974,0.60447,0.50023,0.53746,0.27385,1.64554,1.54499,1.49952,0.000892,0.000892,0.000892
48,8992.39,1.59805,1.54436,1.48442,0.60262,0.50103,0.53735,0.27453,1.64623,1.54188,1.49914,0.000694,0.000694,0.000694
49,9174.11,1.58817,1.53027,1.47757,0.60599,0.50091,0.53885,0.27498,1.64637,1.53967,1.4991,0.000496,0.000496,0.000496
