epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.966,2.13535,3.06745,1.84732,0.25199,0.24382,0.15064,0.05439,2.16208,2.54243,1.92483,0.000416492,0.000416492,0.000416492
2,380.902,2.06627,2.57183,1.7861,0.30637,0.28097,0.21552,0.08519,2.01797,2.39692,1.80109,0.000805664,0.000805664,0.000805664
3,567.607,2.02642,2.48248,1.77065,0.38192,0.30362,0.26211,0.11016,1.98289,2.24899,1.77446,0.00116734,0.00116734,0.00116734
4,753.572,1.9841,2.4124,1.74417,0.37508,0.32426,0.29005,0.1249,1.91947,2.16593,1.73017,0.00112625,0.00112625,0.00112625
5,936.271,1.93732,2.31386,1.70036,0.42819,0.34472,0.32847,0.14096,1.89697,2.12733,1.72158,0.001085,0.001085,0.001085
6,1129.19,1.90416,2.25665,1.68119,0.42934,0.36126,0.33963,0.14757,1.8586,2.05304,1.67878,0.00104375,0.00104375,0.00104375
7,1311.66,1.8844,2.21598,1.66167,0.4348,0.39072,0.35309,0.15981,1.83153,1.98689,1.65684,0.0010025,0.0010025,0.0010025
8,1497.89,1.85228,2.16219,1.63966,0.4727,0.40865,0.38518,0.17673,1.80299,1.92475,1.6452,0.00096125,0.00096125,0.00096125
9,1683.28,1.84331,2.12832,1.62542,0.47058,0.39905,0.38755,0.17946,1.78209,1.91652,1.61547,0.00092,0.00092,0.00092
10,1869.04,1.8207,2.08753,1.6079,0.48319,0.41562,0.398,0.18489,1.77524,1.89064,1.6217,0.00087875,0.00087875,0.00087875
11,2055.92,1.80168,2.0495,1.59227,0.49192,0.42147,0.41664,0.1946,1.75797,1.85948,1.59663,0.0008375,0.0008375,0.0008375
12,2297.78,1.79375,2.03422,1.58862,0.51082,0.42076,0.41911,0.19674,1.74264,1.84215,1.59455,0.00079625,0.00079625,0.00079625
13,2485.82,1.78556,2.01827,1.5834,0.53333,0.44438,0.4487,0.21191,1.73959,1.79046,1.57682,0.000755,0.000755,0.000755
14,2673.24,1.77258,1.98805,1.57023,0.52139,0.44702,0.44845,0.21287,1.72834,1.78463,1.56492,0.00071375,0.00071375,0.00071375
15,2860.24,1.76339,1.97036,1.56779,0.53683,0.4456,0.4571,0.21981,1.70825,1.76993,1.56111,0.0006725,0.0006725,0.0006725
16,3084.57,1.75468,1.9512,1.55875,0.532,0.45117,0.45979,0.2236,1.71365,1.75297,1.55583,0.00063125,0.00063125,0.00063125
17,3301.14,1.74362,1.91869,1.54586,0.53485,0.45509,0.46462,0.22604,1.7127,1.72517,1.55172,0.00059,0.00059,0.00059
18,3493.52,1.73205,1.89773,1.5313,0.54509,0.45613,0.47518,0.23185,1.69855,1.71673,1.53269,0.00054875,0.00054875,0.00054875
19,3680.8,1.7268,1.8943,1.53409,0.54668,0.46617,0.47843,0.23282,1.69842,1.69937,1.53871,0.0005075,0.0005075,0.0005075
20,3871.67,1.71351,1.86976,1.52344,0.56243,0.47191,0.48935,0.23948,1.68424,1.67681,1.52337,0.00046625,0.00046625,0.00046625
21,4060.2,1.71784,1.80313,1.5654,0.56142,0.47461,0.49512,0.24343,1.6879,1.6645,1.52693,0.000425,0.000425,0.000425
22,4241.28,1.70275,1.76591,1.55443,0.58284,0.4723,0.50536,0.24929,1.68358,1.6378,1.52303,0.00038375,0.00038375,0.00038375
23,4466.8,1.69698,1.73794,1.54643,0.57032,0.47921,0.50474,0.25159,1.68045,1.62785,1.51975,0.0003425,0.0003425,0.0003425
24,4649.37,1.67584,1.72192,1.53714,0.58022,0.47685,0.5101,0.2553,1.67237,1.61984,1.51554,0.00030125,0.00030125,0.00030125
25,4831.71,1.66267,1.68412,1.52503,0.577,0.49277,0.51635,0.2578,1.67242,1.60875,1.51,0.00026,0.00026,0.00026
26,5017.93,1.65877,1.67168,1.52279,0.58891,0.4827,0.51933,0.25966,1.67263,1.59711,1.51024,0.00021875,0.00021875,0.00021875
27,5200.93,1.6473,1.65421,1.5137,0.59569,0.4832,0.52253,0.26335,1.66317,1.58988,1.50473,0.0001775,0.0001775,0.0001775
28,5385.13,1.63645,1.63274,1.50622,0.59101,0.48685,0.52581,0.26537,1.66487,1.58341,1.50679,0.00013625,0.00013625,0.00013625
29,5572.54,1.62662,1.61539,1.50032,0.59694,0.48272,0.52542,0.26513,1.6647,1.57813,1.50667,9.5e-05,9.5e-05,9.5e-05
30,5840.01,1.61922,1.60445,1.49227,0.60002,0.48273,0.52725,0.26678,1.66324,1.57612,1.50356,5.375e-05,5.375e-05,5.375e-05
